epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1131,1.69781,3.23115,1.51015,0.21865,0.45724,0.20374,0.07487,1.898,4.12525,1.73256,0.00331313,0.00331313,0.00331313
2,47.0029,1.34213,1.69905,1.23245,0.30445,0.38816,0.2574,0.08726,2.39992,2.57536,2.19112,0.0066026,0.0066026,0.0066026
3,69.2852,1.32356,1.36252,1.23344,0.23136,0.45395,0.22567,0.08344,2.20151,2.88638,2.21315,0.00984806,0.00984806,0.00984806
4,91.5116,1.376,1.29056,1.2709,0.21068,0.34539,0.16791,0.06421,2.40691,2.48142,2.2322,0.009802,0.009802,0.009802
5,113.781,1.29027,1.15154,1.24204,0.07149,0.11842,0.03297,0.01298,2.51751,5.39573,2.31131,0.009736,0.009736,0.009736
6,136.06,1.23039,1.03711,1.20533,0.22451,0.375,0.18848,0.05706,2.4194,2.51138,2.13533,0.00967,0.00967,0.00967
7,158.279,1.1745,0.97993,1.18654,0.40345,0.35526,0.31674,0.10667,2.46058,2.40968,2.23178,0.009604,0.009604,0.009604
8,180.594,1.12954,0.92399,1.16179,0.48332,0.42156,0.40014,0.14282,2.1732,2.16288,1.97879,0.009538,0.009538,0.009538
9,202.828,1.11167,0.90204,1.15206,0.31405,0.30723,0.23263,0.0931,2.31873,2.43045,2.08236,0.009472,0.009472,0.009472
10,225.067,1.06788,0.85908,1.12933,0.41498,0.48026,0.37158,0.13081,2.23185,2.1115,2.01579,0.009406,0.009406,0.009406
11,247.29,1.04181,0.82055,1.1108,0.30077,0.49013,0.29289,0.10404,2.1833,2.04625,1.91827,0.00934,0.00934,0.00934
12,269.591,1.01778,0.79391,1.11178,0.41115,0.40132,0.32354,0.11715,2.1615,2.36656,1.97969,0.009274,0.009274,0.009274
13,291.905,0.99532,0.76444,1.09899,0.5107,0.39145,0.42141,0.17702,2.11244,2.25837,1.87658,0.009208,0.009208,0.009208
14,314.306,0.96691,0.76341,1.07634,0.57734,0.53022,0.53829,0.18496,2.0867,2.15656,1.89866,0.009142,0.009142,0.009142
15,336.633,0.9665,0.72722,1.07995,0.62633,0.50329,0.5411,0.23904,1.81982,1.80965,1.65988,0.009076,0.009076,0.009076
16,359.096,0.94797,0.72112,1.07362,0.52058,0.65723,0.56013,0.21777,2.07363,1.47851,1.82509,0.00901,0.00901,0.00901
17,381.45,0.92424,0.69636,1.06082,0.6128,0.61513,0.63025,0.30265,1.79976,1.50426,1.69517,0.008944,0.008944,0.008944
18,403.822,0.9359,0.68524,1.06433,0.55269,0.61184,0.57265,0.27763,1.87707,1.49023,1.72566,0.008878,0.008878,0.008878
19,426.143,0.91176,0.68155,1.05381,0.59749,0.54605,0.51156,0.18708,2.23246,1.60981,1.99992,0.008812,0.008812,0.008812
20,448.507,0.88099,0.65033,1.04468,0.64989,0.66447,0.626,0.27073,1.93021,1.46839,1.80243,0.008746,0.008746,0.008746
21,470.815,0.88899,0.6447,1.04624,0.69872,0.63487,0.70435,0.30159,1.88031,1.37434,1.69531,0.00868,0.00868,0.00868
22,493.219,0.86526,0.61753,1.03564,0.53429,0.63158,0.60446,0.24854,2.09997,1.41377,1.84656,0.008614,0.008614,0.008614
23,515.586,0.86521,0.61175,1.03903,0.67822,0.62829,0.63687,0.27827,1.97136,1.4073,1.76814,0.008548,0.008548,0.008548
24,537.952,0.86219,0.61433,1.03017,0.76899,0.75558,0.79063,0.34944,1.83534,1.22888,1.65202,0.008482,0.008482,0.008482
25,560.263,0.84258,0.60331,1.02328,0.64492,0.70499,0.65034,0.30592,1.90307,1.41791,1.7188,0.008416,0.008416,0.008416
26,582.597,0.82885,0.59006,1.02133,0.71319,0.71162,0.73592,0.32359,1.88153,1.21605,1.68384,0.00835,0.00835,0.00835
27,604.966,0.81566,0.57881,1.01687,0.7056,0.61184,0.64162,0.26865,2.03392,1.4153,1.85274,0.008284,0.008284,0.008284
28,627.306,0.82151,0.58083,1.01974,0.70858,0.625,0.67229,0.34037,1.8561,1.33979,1.69753,0.008218,0.008218,0.008218
29,649.601,0.80811,0.57088,1.00705,0.70688,0.69737,0.70692,0.32707,1.79855,1.29307,1.62166,0.008152,0.008152,0.008152
30,671.96,0.80887,0.56519,1.00686,0.73001,0.62829,0.65476,0.31061,1.93117,1.3897,1.66852,0.008086,0.008086,0.008086
31,694.242,0.79993,0.57448,1.01088,0.73212,0.71923,0.77125,0.3689,1.72953,1.29835,1.59926,0.00802,0.00802,0.00802
32,716.592,0.78855,0.54617,1.00146,0.65154,0.63352,0.64187,0.30343,1.83206,1.37609,1.64666,0.007954,0.007954,0.007954
