epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.63445,1.93959,4.11712,1.59841,0.00333,1,0.04484,0.01762,1.55028,4.69193,1.16118,0.00026,0.00026,0.00026
2,5.09997,1.66268,3.29694,1.33165,0.00258,0.775,0.0238,0.00519,1.91685,5.38307,1.52527,0.000537327,0.000537327,0.000537327
3,7.62306,1.76983,2.9874,1.46746,0.0005,0.15,0.00029,8e-05,2.74201,6.1853,2.67722,0.000811882,0.000811882,0.000811882
4,9.99132,1.75453,2.75148,1.45981,0.00167,0.5,0.00228,0.00072,1.95629,5.3956,1.85032,0.00108366,0.00108366,0.00108366
5,12.2592,1.75328,2.54268,1.46833,0.0207,0.15,0.01764,0.00643,2.06409,5.14549,1.85192,0.00135268,0.00135268,0.00135268
6,14.5189,1.76578,2.35618,1.476,0.08491,0.075,0.04042,0.01054,2.83252,5.74332,2.1452,0.00161892,0.00161892,0.00161892
7,16.7696,1.72995,2.33477,1.48398,0.00033,0.1,0.00096,0.00045,3.73037,5.11008,3.07618,0.00188238,0.00188238,0.00188238
8,19.0121,1.74904,2.13129,1.51451,0.01534,0.075,0.00684,0.00234,2.51112,5.11868,2.20029,0.0019307,0.0019307,0.0019307
9,21.2799,1.74166,1.96146,1.51223,0.00075,0.225,0.00069,0.00023,2.61812,5.76196,2.862,0.0019208,0.0019208,0.0019208
10,23.5228,1.7498,1.90127,1.51173,0.03702,0.125,0.01771,0.00536,2.5734,5.42891,2.18974,0.0019109,0.0019109,0.0019109
11,25.7714,1.67733,1.79868,1.45454,0.08605,0.1,0.02534,0.00627,2.7008,6.16255,2.2726,0.001901,0.001901,0.001901
12,28.4146,1.74006,1.74925,1.47393,0.02203,0.125,0.00578,0.0015,3.38842,4.60992,2.86179,0.0018911,0.0018911,0.0018911
13,31.2348,1.70403,1.70474,1.45911,0.01184,0.05,0.00293,0.00064,3.10808,8.55261,2.55299,0.0018812,0.0018812,0.0018812
14,33.4754,1.6376,1.5818,1.3922,0.01196,0.05,0.00344,0.00081,3.21849,5.13787,2.58009,0.0018713,0.0018713,0.0018713
15,36.6993,1.61363,1.55691,1.39117,0.03763,0.125,0.01658,0.00722,2.31182,4.08273,1.8764,0.0018614,0.0018614,0.0018614
16,38.9602,1.58906,1.48005,1.38529,0.2126,0.025,0.01747,0.0058,2.66489,4.95846,2.20057,0.0018515,0.0018515,0.0018515
17,41.2295,1.64011,1.44646,1.42387,8e-05,0.025,4e-05,0,3.77212,5.49421,2.35623,0.0018416,0.0018416,0.0018416
18,43.4533,1.59689,1.45339,1.39506,0.00025,0.075,0.00014,4e-05,3.36458,8.14208,2.73134,0.0018317,0.0018317,0.0018317
19,45.6836,1.59571,1.40776,1.38794,0.003,0.05,0.00245,0.00075,2.3633,5.56763,1.89807,0.0018218,0.0018218,0.0018218
20,47.9062,1.55415,1.4086,1.37861,0.04826,0.075,0.00887,0.00221,2.73022,4.59792,2.20019,0.0018119,0.0018119,0.0018119
21,50.2938,1.51809,1.31376,1.35495,0.00202,0.1,0.00115,0.00014,3.52508,5.74962,3.17307,0.001802,0.001802,0.001802
